Version initiale,Version retraitée,Catégorie
Pouvoir bouger,- Une présentation des différents modes de déplacement : vélos à assistance électrique...,Transposition
apprendre les codes de la route,- des explications pour comprendre et respecter le code de la route.,Substitution
- Développement d'une démarche de covoiturage solidaire et de transport solidaire,"- des conseils pour se déplacer plus facilement : covoiturage et
transport solidaire",Substitution
Savoir bouger,Être autonome pour vous déplacer,Modulation
"- comprendre et reconnaitre son environnement
- être en confiance lors des déplacements
- être accompagné pour accéder aux services existant","- Savoir où sont les services, les lieux importants et gagner en confiance",Substitution
- déchiffrer le code de la route,"- Apprendre le vocabulaire du code de la route et de la conduite, connaître les règles de circulation et de sécurité pour tous les usagers de la route",Explanation
- connaître les facilitations financières pour se déplacer,"- Savoir si vous avez droit à des aides financières pour payer les transports : aides aux déplacements, tarifications sociales, aides au permis, aide à l'achat d'un véhicule...",Explanation
- connaître les solutions locales / nationales,- Connaître les différentes solutions locales ou nationales,Syntactic
"Conseil en mobilité pour accompagner les publics de manière individuelle et par le biais d'ateliers collectifs (diagnostics, sensibilisation, identification de solutions …)","- Diagnostic personnalisé, évaluation de vos besoins et accompagnement dans vos choix",Modulation
"- Mise à disposition d'une flotte de vélos à assistance électrique auprès des publics en situation de précarité mobilité (période de 1 à 3 mois à tarification sociale), ou afin de sensibiliser le grand public au VAE (location à tarification grand public)","- Découvrir les solutions de mobilité du territoire : location de vélo à assistance électrique (VAE) avec une tarification adaptée, utilisation du covoiturage solidaire",Substitution
"- Mise à disposition d'une flotte de vélos à assistance électrique auprès des publics en situation de précarité mobilité (période de 1 à 3 mois à tarification sociale), ou afin de sensibiliser le grand public au VAE (location à tarification grand public)","- Découvrir les solutions de mobilité du territoire : location de vélo à assistance électrique (VAE) avec une tarification adaptée, utilisation du covoiturage solidaire",Omission
"Contactez Giulia, la spécialiste en mobilité durable et inclusive",Contacter l'équipe Coopgo,Substitution
Auguste Morel,"Auguste Morel, conseillère en mobilité",Explanation
Mail : Monique Samson : 0178150020,"- Par mail: Bertrand de Joly Par téléphone : 05 19 65 67 04
",Syntactic
Denis Gimenez-Riou Lallement,"Denis Gimenez-Riou Lallement, responsable projet",Explanation
Mail : michele15@example.com Téléphone : +33 5 08 57 42 96,"- par mail : michele15@example.com
- par téléphone : 05 19 64 54 30",Syntactic
"Cours de français, ateliers sociaux-linguistiques",Apprendre le français pour être autonome,Modulation
"Cours de français, ateliers sociaux-linguistiques",Apprendre le français pour être autonome,Transposition
Cours de français en petits groupes ,"Des cours de français en petits groupes adaptés à votre niveau du lundi au jeudi pour :
- Mieux communiquer à l'oral et à l'écrit dans la vie quotidienne
- Découvrir le monde du travail en France et trouver un emploi plus facilement",Explanation
Gagner en autonomie dans la vie quotidienne,Devenir autonome au quotidien,Substitution
"Faire ses courses, aller à la Poste, chez le médecin, accompagner
la scolarité des enfants","- Faire ses courses, aller à la Poste, chez le médecin...
- Suivre la scolarité des enfants.",Syntactic
Effectuer les démarches administratives,Faire ses démarches administratives,Substitution
"Apprendre à remplir un formulaire, prendre un RDV, se connecter
aux sites (Sécurité Sociale, CAF, Impôts etc.)","- Compléter un formulaire, prendre un rendez-vous
- Apprendre à faire ses démarches sur internet : Sécurité sociale, CAF, impôts..",Syntactic
"Apprendre à remplir un formulaire, prendre un RDV, se connecter
aux sites (Sécurité Sociale, CAF, Impôts etc.)","- Compléter un formulaire, prendre un rendez-vous
- Apprendre à faire ses démarches sur internet : Sécurité sociale, CAF, impôts..",Substitution
"Comment s'inscrire à France travail, connaitre le marché de
l'emploi sur le territoire, rédiger son CV, connaitre la législation
du travail...","- Trouver un travail : connaître les offres sur le territoire, écrire un CV, s'inscrire à France Travail...
- Comprendre le monde du travail et son fonctionnement (droits, devoirs des salariés...)",Syntactic
"Comment s'inscrire à France travail, connaitre le marché de
l'emploi sur le territoire, rédiger son CV, connaitre la législation
du travail...","- Trouver un travail : connaître les offres sur le territoire, écrire un CV, s'inscrire à France Travail...
- Comprendre le monde du travail et son fonctionnement (droits, devoirs des salariés...)",Explanation
"Comment s'inscrire à France travail, connaitre le marché de
l'emploi sur le territoire, rédiger son CV, connaitre la législation
du travail...","- Trouver un travail : connaître les offres sur le territoire, écrire un CV, s'inscrire à France Travail...
- Comprendre le monde du travail et son fonctionnement (droits, devoirs des salariés...)",Substitution
connaitre la législation du travail,"Comprendre le monde du travail et son fonctionnement (droits, devoirs des salariés...)",Explanation
Pour vous inscrire,Prendre rendez-vous et s'inscrire,Explanation
"Téléphoner à la coordinatrice pour prendre Marc Philippe :
06 34 22 79 62","Contactez la coordinatrice pour prendre rendez-vous :
- par téléphone : 06 34 22 79 62
- par mail: jacquescharpentier@example.com",Syntactic
"Téléphoner à la coordinatrice pour prendre Marc Philippe :
",Contactez la coordinatrice pour prendre rendez-vous :,Synonymy
"ou venir lors des permanences :
Isere
- Lundi et jeudi matin à la MPT Suzanne-Geneviève Hamel- Mardi matin (9h-11h)
à l'Espace Luc Rivière
90 avenue de la Verpillière
38090 Villefontaine","Vous pouvez aussi venir directement vous
inscrire sur place lors des permanences :
- Lundi et jeudi matin (9h-11h) : Maison
Pour Tous Aurélie Diaz-Hervé - 3 Rue Pasteur -
38090 Villefontaine.
- Mardi matin (9h-11h) : Espace Raymond Muller - 90 avenue de la Verpillière -
38090 Villefontaine.",Syntactic
"ou venir lors des permanences :
Isere
- Lundi et jeudi matin à la MPT Denise Tronchet
","Vous pouvez aussi venir directement vous
inscrire sur place lors des permanences :
- Lundi et jeudi matin (9h-11h) : Maison
Pour Tous Aurélie Diaz-Hervé - 3 Rue Pasteur -
38090 Villefontaine.
",Explanation
Faire des activités avec d'autres femmes,Faire des activités avec d'autres femmes,Transcription
"Chaque semaine, un groupe de femmes avec deux bénévoles organise ensemble leur planning du mois : temps de partage café/thé, balade dans la forêt, sorties à la patinoire, au cinéma, au musée, organisation d'un vide-dressing pour s'échanger des vêtements, initiation au yoga, à la céramique...","Chaque semaine, un groupe de femmes avec deux bénévoles organise ensemble leur planning du mois : café/thé, balade en forêt, sorties à la patinoire, au cinéma, au musée, organisation d'un vide-dressing pour s'échanger des vêtements, initiation au yoga, à la céramique...
",Transposition
Ce groupe réservé aux femmes est animé par deux bénévoles qui vous accompagnent à chaque activité.,Ce groupe réservé aux femmes est animé par deux bénévoles qui vous accompagnent à chaque activité.,Transcription
Rencontrer d'autres femmes,Rencontrer d'autres femmes,Transcription
"Une quinzaine de femmes se réunissent chaque semaine avec les deux bénévoles. C'est l'occasion de rencontrer des personnes françaises, mais aussi d'autres cultures et de favoriser les échanges.","Une quinzaine de femmes se réunissent chaque semaine avec les deux bénévoles. C'est l'occasion de rencontrer de nouvelles personnes, mais aussi de découvrir d'autres cultures et de pratiquer le français.",Substitution
"Découvrir ma ville, ses activités et la culture française","Découvrir ma ville, ses activités et la culture française",Transcription
"Ensemble et entre femmes, on peut oser explorer de nouveaux
lieux dans Nantes et ailleurs, découvrir l'histoire de la ville, des
associations, des événements, participer à de nouvelles activités","Vous pouvez :
- Explorer de nouveaux lieux dans Nantes et ailleurs
- Découvrir l'histoire de la ville, des associations, des événements, participer à de nouvelles activités.",Omission
"Ensemble et entre femmes, on peut oser explorer de nouveaux
lieux dans Nantes et ailleurs, découvrir l'histoire de la ville, des
associations, des événements, participer à de nouvelles activités","Vous pouvez :
- Explorer de nouveaux lieux dans Nantes et ailleurs
- Découvrir l'histoire de la ville, des associations, des événements, participer à de nouvelles activités.",Syntactic
Apprendre le français,Apprendre le français,Transcription
"Le groupe a une langue commune : le français. A travers les activités et les sorties, les deux bénévoles françaises vous accompagneront dans l'apprentissage du français.","Les échanges se font en français. Grâce aux activités et aux sorties, les deux bénévoles vous aident à progresser et devenir plus autonome en français",Syntactic
"Le groupe a une langue commune : le français. A travers les activités et les sorties, les deux bénévoles françaises vous accompagneront dans l'apprentissage du français.","Les échanges se font en français. Grâce aux activités et aux sorties, les deux bénévoles vous aident à progresser et devenir plus autonome en français",Substitution
Contactez-nous,Nous contacter et s'inscrire aux activités,Modulation
Contactez-nous,Nous contacter et s'inscrire aux activités,Explanation
"Vous pouvez venir vous inscrire à cette activité :
- Sur les permanences sans Marc Philippe les lundis et jeudis entre 10h et
12h ! Nous sommes situés au centre de la place Margaret Masse-Coulon ; l'entrée se situe derrière le bâtiment au centre de la
place.
- ou en nous contactant :
Mail : renardstephane@example.net
Antoinette Lucas : +33 3 59 30 14 36","Vous pouvez vous inscrire aux activités :
- par mail : renardstephane@example.net
- par téléphone : +33 3 59 30 14 36
- ou venir à nos permanences sans rendez-vous les lundis et jeudis entre 10h et 12h.",Syntactic
Vous pouvez venir vous inscrire à cette activité :,Vous pouvez vous inscrire aux activités :,Substitution
"- Sur les permanences sans Marc Philippe les lundis et jeudis entre 10h et
12h ! Nous sommes situés au centre de la place Margaret Masse-Coulon ; l'entrée se situe derrière le bâtiment au centre de la
place.",- ou venir à nos permanences sans rendez-vous les lundis et jeudis entre 10h et 12h.,Compression
"- Sur les permanences sans Marc Philippe les lundis et jeudis entre 10h et
12h ! Nous sommes situés au centre de la place Margaret Masse-Coulon ; l'entrée se situe derrière le bâtiment au centre de la
place.",- ou venir à nos permanences sans rendez-vous les lundis et jeudis entre 10h et 12h.,Omission
"- ou en nous contactant :
Mail : renardstephane@example.net
Antoinette Lucas : +33 3 59 30 14 36","- par mail : renardstephane@example.net
- par téléphone : +33 3 59 30 14 36",Syntactic
Les bâtisseuses en action,Se préparer aux métiers du bâtiment et des travaux publics,Explanation
"Un programme de 2 semaines pour vous aider à trouver et valider
votre projet professionnel dans le bâtiment et les travaux avec :","Un programme de 2 semaines pour vous aider à trouver et valider
votre projet professionnel dans le bâtiment et les travaux publics
avec :",Explanation
"- une découverte du chantier et des métiers possibles
",- une découverte du chantier et des métiers possibles,Transcription
- l'apprentissage du vocabulaire français technique,- des cours de français professionnel (vocabulaire technique et spécifique),Explanation
- une présentation des métiers recherchés par les entreprises,- une présentation des métiers recherchés par les entreprises,Transcription
- des conseils pour trouver un travail ou une formation,- des conseils pour trouver un travail ou une formation,Transcription
- Un accompagnement individuel et collectif,- Un accompagnement individuel et collectif,Transcription
Avoir un vocabulaire précis en français,Améliorer votre niveau de français,Substitution
Connaître le vocabulaire de la construction,"Connaître le vocabulaire de la construction, se répérer dans l'espace",Explanation
- Comprendre les règles de sécurité,"- Comprendre les règles de sécurité, les consignes",Explanation
- Communiquer avec les collègues et les chefs de chantier pour être autonome.,- Communiquer avec les collègues et les chefs de chantier pour être autonome,Transcription
Préparer sa candidature dans une entreprise ou formation,Préparer votre candidature dans une entreprise ou formation,Modulation
Apprendre à vous présenter en français devant un recruteur,Apprendre à vous présenter en français devant un recruteur,Transcription
- Connaître vos compétences,- Connaître vos compétences et vos qualités,Explanation
- Parler de vos expériences,- Parler de vos expériences,Transcription
- Vous mettre en valeur à l'oral et sur un CV,- Vous mettre en valeur à l'oral et sur votre CV,Transcription
Etre capable de chercher et trouver un travail / formation seule,Être capable de chercher un travail ou une formation,Syntactic
Faire un CV et le modifier seul,Faire un CV et le mettre à jour,Transcription
- Savoir sur quels sites internet chercher un travail ou une formation,- Savoir sur quels sites internet chercher un travail ou une formation,Transcription
"- Connaître les différents contrats (CDD, CDI, intérim...) et le droit du travail pour un salarié","- Connaître les différents contrats (CDD, CDI, intérim...) et le droit du travail pour un salarié",Transcription
Accompagnement individuel,Accompagnement individuel,Transcription
Accompagnement et conseils pendant et après la formation pour trouver un travail ou une formation rapidement,Accompagnement et conseils pendant et après la formation pour trouver un travail ou une formation rapidement,Transcription
- Adaptation de la formation à vos besoins,- Adaptation de la formation à vos besoins,Transcription
"- Mise en relation avec d'autres structures pour vous aider sur d'autres sujets : permis, demande de logement, inscription formation, inscription France Travail, ouverture d'un compte bancaire...","- Mise en relation avec d'autres structures pour vous aider dans vos démarches administratives : permis, demande de logement, inscription à une formation, inscription à France Travail, ouverture d'un compte bancaire...",Explanation
"- Mise en relation avec d'autres structures pour vous aider sur d'autres sujets : permis, demande de logement, inscription formation, inscription France Travail, ouverture d'un compte bancaire...","- Mise en relation avec d'autres structures pour vous aider dans vos démarches administratives : permis, demande de logement, inscription à une formation, inscription à France Travail, ouverture d'un compte bancaire...",Syntactic
Découvrir des métiers,Découvrir des métiers,Transcription
Rencontrer des entreprises,Rencontrer des entreprises,Transcription
- Découvrir la menuiserie par la construction d'un objet,- Découvrir la menuiserie par la construction d'un objet,Transcription
- Rencontrer des organismes de formations,- Rencontrer des organismes de formations,Transcription
- Visiter des plateaux techniques d'écoles,- Visiter des plateaux techniques d'écoles,Transcription
Envoyez un SMS,Contacter le centre de formation,Substitution
"Envoyer un message au +33 4 74 50 45 33 avec votre nom, prénom et adresse d'habitation et de domiciliation et le nom du programme ""Les Bâtisseuses en action"".","Envoyer un message au +33 4 74 50 45 33 avec votre nom, prénom et adresse (habitation et courrier), avec une phrase pour dire que vous êtes intéressée par la formation ""Les Bâtisseuses en action”.",Syntactic
"Envoyer un message au +33 4 74 50 45 33 avec votre nom, prénom et adresse d'habitation et de domiciliation et le nom du programme ""Les Bâtisseuses en action"".","Envoyer un message au +33 4 74 50 45 33 avec votre nom, prénom et adresse (habitation et courrier), avec une phrase pour dire que vous êtes intéressée par la formation ""Les Bâtisseuses en action”.",Explanation
"Le centre de formation ""We are all builders"" vous donnera un rendez-vous pour une réunion d'information.
","2. Le centre de formation ""We are all builders"" vous donnera un rendez-vous pour une réunion d'information.
",Transcription
"Attention, nous ne pouvons accepter SEULEMENT :
- Les femmes résidentes (ou domiciliées) dans le 93","Attention, nous ne pouvons accepter SEULEMENT les femmes qui habitent ou ont une adresse dans le 93.",Syntactic
Parler le français et découvrir le vocabulaire pour l'emploi ,Parler le français et apprendre le vocabulaire professionnel,Substitution
"Des ateliers 2 fois par mois en petit groupe pour progresser en français, mieux communiquer au quotidien et dans le milieu professionnel.","Des ateliers 2 fois par mois en petit groupe pour progresser en français, mieux communiquer au quotidien et dans le milieu professionnel.",Transcription
Le contenu des ateliers est adapté aux besoins des participants.,Le contenu des ateliers est adapté aux besoins des participants.,Transcription
Améliorer sa pratique de la langue française,Améliorer votre niveau de français,Modulation
Améliorer sa pratique de la langue française,Améliorer votre niveau de français,Substitution
Apprendre le vocabulaire de votre métier,Apprendre le vocabulaire de votre métier,Transcription
Découvrir le monde du travail en France,"- Découvrir le monde du travail en France (codes en entreprise, droits et devoirs du salarié...).",Explanation
Lien social,Rencontrer de nouvelles personnes,Explanation
Lien social,Rencontrer de nouvelles personnes,Transposition
Rencontrer d'autres personnes et échanger avec convivialité,"Échanger dans une ambiance conviviale
- Gagner en confiance et améliorer votre estime de soi.",Omission
Rencontrer d'autres personnes et échanger avec convivialité,"Échanger dans une ambiance conviviale
- Gagner en confiance et améliorer votre estime de soi.",Syntactic
Rencontrer d'autres personnes et échanger avec convivialité,"Échanger dans une ambiance conviviale
- Gagner en confiance et améliorer votre estime de soi.",Explanation
Rencontrer d'autres personnes et échanger avec convivialité,"Échanger dans une ambiance conviviale
- Gagner en confiance et améliorer votre estime de soi.",Modulation
Devenir autonome,Devenir autonome au quotidien,Explanation
Apprendre pour présenter son métier,- Savoir présenter votre métier et mieux communiquer au travail.,Modulation
Apprendre pour présenter son métier,- Savoir présenter votre métier et mieux communiquer au travail.,Explanation
accéder à l'emploi,- Trouver un emploi,Substitution
"Mieux communiquer en français
- Comprendre et développer le vocabulaire associé au monde du travail
- Comprendre la règlementation et la culture du travail en France
- Favoriser son intégration sociale et professionnelle
- Développer sa confiance et son estime","- Découvrir le monde du travail en France (habitudes en entreprise, droits et devoirs du salarié...)
- Trouver un travail 
- Savoir présenter votre métier et vos compétences.",Modulation
"Mieux communiquer en français
- Comprendre et développer le vocabulaire associé au monde du travail
- Comprendre la règlementation et la culture du travail en France
- Favoriser son intégration sociale et professionnelle
- Développer sa confiance et son estime","- Découvrir le monde du travail en France (habitudes en entreprise, droits et devoirs du salarié...)
- Trouver un travail 
- Savoir présenter votre métier et vos compétences.",Substitution
"Mieux communiquer en français
- Comprendre et développer le vocabulaire associé au monde du travail
- Comprendre la règlementation et la culture du travail en France
- Favoriser son intégration sociale et professionnelle
- Développer sa confiance et son estime","- Découvrir le monde du travail en France (habitudes en entreprise, droits et devoirs du salarié...)
- Trouver un travail 
- Savoir présenter votre métier et vos compétences.",Omission
Inscription au +33 (0)2 50 16 74 71 ou remy66@example.com,"- Par téléphone : +33 (0)7 53 14 13 76 O5
- Par mail : remy66@example.com",Syntactic
Inscription au +33 (0)2 50 16 74 71 ou remy66@example.com,"- Par téléphone : +33 (0)7 53 14 13 76 O5
- Par mail : remy66@example.com",Explanation
Vivre mieux après un trauma,Vivre mieux après un trauma et être accompagné,Explanation
"Proposer un accompagnement aux personnes en repli social à cause d'un Trouble de Stress Post-Traumatique.
","Un accompagnement adapté et personnalisé pour des personnes isolées avec des troubles de stress post-traumatiques (cauchemars, épuisement physique et mental, hallucinations...).",Explanation
Proposer un accompagnement aux personnes en repli social à cause d'un Trouble de Stress Post-Traumatique.,Un accompagnement adapté et personnalisé pour des personnes isolées avec des troubles de stress post-traumatiques.,Substitution
Proposer un accompagnement aux personnes en repli social à cause d'un Trouble de Stress Post-Traumatique.,Un accompagnement adapté et personnalisé pour des personnes isolées avec des troubles de stress post-traumatiques.,Transposition
Proposer un accompagnement aux personnes en repli social à cause d'un Trouble de Stress Post-Traumatique.,Un accompagnement adapté et personnalisé pour des personnes isolées avec des troubles de stress post-traumatiques.,Explanation
Uniquement sur orientation d'un professionnel ou d'un bénévole,Ce parcours se fait uniquement sur orientation d'un professionnel ou d'un bénévole,Transposition
Mieux comprendre les symptômes du trauma,Mieux comprendre les symptômes du trauma,Transcription
Les symptômes du Trouble de Stress Post-Traumatique/trauma peuvent être les suivants : ,Les symptômes du trouble de stress post-traumatique peuvent être divers :,Substitution
"- difficultés à dormir, cauchemars","- difficultés à dormir, cauchemars",Transcription
- fatigue/épuisement physique et mental,- fatigue/épuisement physique et mental,Transcription
- difficultés d'apprentissage et de mémorisation,- difficultés à apprendre et à mémoriser,Transposition
"- reviviscences, hallucinations, etc.","- reviviscences (répétitions ou réapparitions), hallucinations etc",Explanation
Connaître et comprendre ses symptômes peut permettre de mieux vivre avec,Apprendre à connaître et à comprendre vos symptômes peut permettre de mieux vivre avec et d'aller mieux.,Modulation
Connaître et comprendre ses symptômes peut permettre de mieux vivre avec,Apprendre à connaître et à comprendre vos symptômes peut permettre de mieux vivre avec et d'aller mieux.,Explanation
Trouver le lieu de soin adapté à ma situation,Trouver un lieu de soins,Omission
Nous accompagnons à l'entrée en soins:,Nous accompagnons à l'entrée en soins :,Transcription
"- Notre médecin psychiatre peut vous orienter vers le lieu le plus approprié en rédigeant un courrier,",- Un médecin psychiatre peut vous orienter vers le lieu le plus adapté à votre situation et écrire un courrier,Transposition
- Notre médiatrice en santé paire peut vous aider à la prise de rendez-vous et vous accompagner si besoin physiquement le jour du rendez-vous.,"- La médiatrice peut vous aider à traduire, à prendre un rendez-vous, et vous accompagner si besoin le jour du rendez-vous",Explanation
- Notre médiatrice en santé paire peut vous aider à la prise de rendez-vous et vous accompagner si besoin physiquement le jour du rendez-vous.,"- La médiatrice peut vous aider à traduire, à prendre un rendez-vous, et vous accompagner si besoin le jour du rendez-vous",Substitution
"Pratiquer une activité qui apporte du plaisir, de la joie dans ma semaine",Pratiquer une activité et se faire plaisir,Modulation
"Pratiquer une activité qui apporte du plaisir, de la joie dans ma semaine",Pratiquer une activité et se faire plaisir,Substitution
"La personne choisit une activité physique, culturelle, qui lui fait envie,","Vous pouvez choisir une activité physique, culturelle, qui vous fait envie : lecture, cuisine, vélo...",Modulation
"La personne choisit une activité physique, culturelle, qui lui fait envie,","Vous pouvez choisir une activité physique, culturelle, qui vous fait envie : lecture, cuisine, vélo...",Explanation
- La médiatrice l'accompagne vers le lieu de pratique et reste au besoin,- La médiatrice vous accompagne vers le lieu de pratique et reste si besoin,Modulation
- La médiatrice l'accompagne vers le lieu de pratique et reste au besoin,- La médiatrice vous accompagne vers le lieu de pratique et reste si besoin,Substitution
"- S'il est encore trop difficile de rejoindre un groupe, il est possible de pratiquer l'activité en binôme avec un.e bénévole de notre association.","S'il est encore trop difficile de rejoindre un groupe, il est possible de pratiquer l'activité en binôme avec un bénévole de notre association.",Transcription
Demander à un professionnel ou un bénévole de prendre contact avec nous en se rendant sur notre site internet :,"Demander à un professionnel ou un bénévole
de nous contacter",Omission
Demander à un professionnel ou un bénévole de prendre contact avec nous en se rendant sur notre site internet :,"1. Il faut se rapprocher d'un professionnel en santé mentale ou d'un bénévole et lui parler de ce parcours.
2. Vous devez leur demander d'aller sur le site d'ECLAT 38 et de contacter l'association pour rejoindre ce parcours.",Explanation
Demander à un professionnel ou un bénévole de prendre contact avec nous en se rendant sur notre site internet :,"1. Il faut se rapprocher d'un professionnel en santé mentale ou d'un bénévole et lui parler de ce parcours.
2. Vous devez leur demander d'aller sur le site d'ECLAT 38 et de contacter l'association pour rejoindre ce parcours.",Syntactic
Apprendre le français et être accompagné pour trouver un emploi,Apprendre le français et être accompagné pour trouver un emploi,Transcription
"Un programme de 4 mois pour apprendre le français et trouver un travail ou une formation, avec :","Un programme de 4 mois pour apprendre le français et trouver un travail ou une formation, avec :",Transcription
- Un accompagnement sur le projet professionnel,- Un accompagnement sur le projet professionnel,Transcription
- des ateliers sur le monde du travail en France,- des ateliers sur le monde du travail en France,Transcription
- des conseils pour faire un CV et passer un entretien d'embauche,- des conseils pour faire un CV et passer un entretien d'embauche,Transcription
- de l'aide pour faire les démarches administratives,- de l'aide pour faire les démarches administratives,Transcription
L'objectif est de devenir autonome dans la vie quotidienne et professionnelle et d'améliorer son niveau de français jusqu'au niveau A2.,L'objectif est de devenir autonome dans la vie quotidienne et professionnelle. Vous pouvez améliorer votre niveau de français et atteindre le niveau A2.,Syntactic
L'objectif est de devenir autonome dans la vie quotidienne et professionnelle et d'améliorer son niveau de français jusqu'au niveau A2.,L'objectif est de devenir autonome dans la vie quotidienne et professionnelle. Vous pouvez améliorer votre niveau de français et atteindre le niveau A2.,Modulation
L'objectif est de devenir autonome dans la vie quotidienne et professionnelle et d'améliorer son niveau de français jusqu'au niveau A2.,L'objectif est de devenir autonome dans la vie quotidienne et professionnelle. Vous pouvez améliorer votre niveau de français et atteindre le niveau A2.,Transposition
Le parcours démarre le 27 janvier jusqu'au 30 mai 2025.,Les cours de français ont lieu 2 jours par semaine pendant 4 mois. Le parcours démarre le 27 janvier jusqu'au 30 mai 2025.,Explanation
Se préparer à entrer dans le monde du travail,Se préparer à entrer dans le monde du travail,Transcription
Recherche d'un métier adapté à vos compétences et aux besoins des entreprises,Recherche d'un métier adapté à vos compétences et aux besoins des entreprises,Transcription
- Visites et stages dans des entreprises,- Visites et stages dans des entreprises,Transcription
Accompagnement pour les démarches,Accompagnement pour les démarches,Transcription
"Explication sur le système français (santé, logement, droits...)","Explication sur le système français (santé, logement, droits...)",Transcription
"- Aide pour faire vos démarches administratives (demandes, dossiers….)","- Aide pour faire vos démarches administratives (demandes, dossiers...).",Transcription
Faire des activités pour mieux connaître la vie en France,Faire des activités pour mieux connaître la vie en France,Transcription
- Visites culturelles,- Visites culturelles,Transcription
- Sport,- Sport,Transcription
- Rencontres et partages avec de nouvelles personnes dans un groupe,- Rencontres et partages avec de nouvelles personnes dans un groupe,Transcription
Inscription sur internet,Inscription sur internet,Transcription
Formation en français pour débutants,Apprendre le français niveau débutant,Transposition
Formation en français pour débutants,Apprendre le français niveau débutant,Substitution
"173h de formation en français pour étrangers débutants, quatre après-midis par semaine 





","Des cours de français pour débutants, 4 après-midis par semaine pendant 4 mois avec :",Explanation
"173h de formation en français pour étrangers débutants, quatre après-midis par semaine 





","Des cours de français pour débutants, 4 après-midis par semaine pendant 4 mois avec :",Substitution
- 96h de français pour apprendre à communiquer à l'oral et à l'écrit ,- 96 heures de français pour progresser à l'oral et à l'écrit  ,Substitution
- Un projet artistique collectif (élaboration d'un Journal de bord),- un projet artistique en groupe,Substitution
"- Des ateliers thématiques (confiance en soi, méthodes d'apprentissage, utilisation de l'ordinateur...) et des sorties culturelles","- des ateliers thématiques (méthodes pour mieux apprendre, utilisation de l'ordinateur...)",Substitution
"- Des ateliers thématiques (confiance en soi, méthodes d'apprentissage, utilisation de l'ordinateur...) et des sorties culturelles","- des ateliers thématiques (méthodes pour mieux apprendre, utilisation de l'ordinateur...)",Omission
- Un accompagnement individuel pour construire son projet professionnel,- un accompagnement individuel pour construire votre projet professionnel.,Modulation
"Important
pour suivre cette formation, il faut être ","Important
Pour faire cette formation, il faut :",Substitution
- demandeur d'asile,"- avoir la protection internationale (statut de réfugié, bénéficiaire de la protection subsidiaire ou temporaire, apatride)
ou être en France depuis minimum 5 ans et avoir signé le CIR (Contrat d'intégration républicaine) à l'OFII",Explanation
- être grande débutant en français (écrit et oral),- être grand débutant en français (écrit et oral),Transcription
- résider à Paris,- habiter à Paris.,Substitution
"Progresser en français, à l'oral et à l'écrit, pour faciliter votre intégration et atteindre le niveau A11 voire A1.","- Progresser à l'oral et à l'écrit (lire, écrire, communiquer)
- Atteindre le niveau A1.1 ou A1.",Syntactic
"Progresser en français, à l'oral et à l'écrit, pour faciliter votre intégration et atteindre le niveau A11 voire A1.","- Progresser à l'oral et à l'écrit (lire, écrire, communiquer)
- Atteindre le niveau A1.1 ou A1.",Explanation
"Progresser en français, à l'oral et à l'écrit, pour faciliter votre intégration et atteindre le niveau A11 voire A1.","- Progresser à l'oral et à l'écrit (lire, écrire, communiquer)
- Atteindre le niveau A1.1 ou A1.",Compression
Se familiariser avec les démarches,Devenir autonome dans votre vie quotidienne,Modulation
Se familiariser avec les démarches,Devenir autonome dans votre vie quotidienne,Substitution
"Faire les actions basiques sur l'ordinateur (écrire, télécharger, envoyer un document, connexion à internet, boîte mail...)","Utiliser l'ordinateur : écrire, vous connecter à internet, utiliser une boîte mail, télécharger ou envoyer un document...",Substitution
"Faire les actions basiques sur l'ordinateur (écrire, télécharger, envoyer un document, connexion à internet, boîte mail...)","Utiliser l'ordinateur : écrire, vous connecter à internet, utiliser une boîte mail, télécharger ou envoyer un document...",Modulation
"Faire les actions basiques sur l'ordinateur (écrire, télécharger, envoyer un document, connexion à internet, boîte mail...)","Utiliser l'ordinateur : écrire, vous connecter à internet, utiliser une boîte mail, télécharger ou envoyer un document...",Transposition
"- Savoir faire les démarches administratives pour être autonome (prendre rendez-vous sur le site de la préfecture, faire la déclaration trimestrielle CAF...)","- Faire des démarches administratives : prendre rendez-vous sur le site de la préfecture, faire la déclaration trimestrielle de la CAF...",Substitution
"Développer son esprit de
coopération",Faire partie d'une d'équipe,Modulation
Travaillez en groupe à l'élaboration d'un projet artistique tout au long de la formation,Travailler en groupe sur un projet artistique (création journal de bord) pendant toute la formation,Substitution
Travaillez en groupe à l'élaboration d'un projet artistique tout au long de la formation,Travailler en groupe sur un projet artistique (création journal de bord) pendant toute la formation,Explanation
Contactez nous!,Contacter l'association ASLC,Explanation
Contactez-nous par mail pour expliquer votre situation et vos besoins : robert03@example.org,Envoyez un mail à robert03@example.org pour expliquer votre situation et votre besoin de cours de français.,Explanation
Trouver un travail,Trouver un travail ou une formation à Nantes,Explanation
"Cette action est ouverte à toutes les personnes ayant un titre de séjour (personnes réfugiées, bénéficiaires de la protection subsidiaire, mais aussi régularisées ou demandeuses d'asile)",Les ateliers sont ouverts aux bénéficiaires d'un protection internationale et aux demandeurs d'asile,Compression
Une aide pour candidater sur des offres d'emploi,Une aide pour candidater à des offres d'emploi,Substitution
L'Entraide vous présente les offres d'emploi et vous aide à candidater selon votre profil et votre projet professionnel.,Présentation d'offres d'emploi de Job4Mi Ouest adaptées à votre parcours,Explanation
